"","V1","V2","Bin","bin","Database","GI_number","GenBank_ID","Gene_name","Organism","Compound","NCBI_annotation"
"89","BFPBLHFJ_01686","gi|1053197078|ref|WP_065990100.1|","6final_SemiBin_18.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_18.fa","MRG",1053197078,"WP_065990100.1","sodA","Pseudomonas graminis","Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]"," superoxide dismutase "
"90","HILGOCMM_00489","gi|1011082165|ref|WP_062019313.1|","6final_SemiBin_2.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_2.fa","MRG",1011082165,"WP_062019313.1","arsM","Streptomyces phaeopurpureus","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"91","MGPGPGFJ_01233","gi|663692893|ref|WP_030469953.1|","6final_SemiBin_22.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_22.fa","MRG",663692893,"WP_030469953.1","mmco","Lechevalieria aerocolonigenes","Copper (Cu)"," copper oxidase "
"92","PMOAHBGC_01069","gi|944044659|ref|WP_055631768.1|","6final_SemiBin_27.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_27.fa","MRG",944044659,"WP_055631768.1","arsM","Streptomyces griseoruber","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"93","HGOCJNFO_00135","gi|759886917|ref|WP_043573572.1|","6final_SemiBin_3.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_3.fa","MRG",759886917,"WP_043573572.1","copP","Actinopolyspora erythraea","Copper (Cu)"," copper chaperone "
"94","HGOCJNFO_00371","gi|489496231|ref|WP_003401147.1|","6final_SemiBin_3.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_3.fa","MRG",489496231,"WP_003401147.1","ricR","Mycobacterium","Copper (Cu)"," MULTISPECIES: hypothetical protein "
"95","GMMDBOBN_00043","gi|490085641|ref|WP_003987610.1|","6final_SemiBin_4.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_4.fa","MRG",490085641,"WP_003987610.1","arsM","Streptomyces viridochromogenes","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"96","GMMDBOBN_00766","gi|489496231|ref|WP_003401147.1|","6final_SemiBin_4.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_4.fa","MRG",489496231,"WP_003401147.1","ricR","Mycobacterium","Copper (Cu)"," MULTISPECIES: hypothetical protein "
"97","BEOADDOE_01324","gi|920097520|ref|WP_052946549.1|","6final_SemiBin_5.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_5.fa","MRG",920097520,"WP_052946549.1","rpoS","Salmonella enterica","Hydrochloric acid (HCl) [class: Acid],  Sodium hydroxide (NaOH) [class: Base]"," RNA polymerase sigma factor RpoS "
"98","BEOADDOE_01609","gi|917194591|ref|WP_051801303.1|","6final_SemiBin_5.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_5.fa","MRG",917194591,"WP_051801303.1","arsM","Streptomyces sp. NRRL F-525","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"99","AEEIBFNK_00057","gi|920272792|ref|WP_052974832.1|","6final_SemiBin_59.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_59.fa","MRG",920272792,"WP_052974832.1","sodA","Shigella sonnei","Selenium (Se), Hydrogen Peroxide (H2O2) [class: Peroxides]"," superoxide dismutase "
"100","GOKOFOOO_00601","gi|503438821|ref|WP_013673482.1|","6final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_6.fa","MRG",503438821,"WP_013673482.1","ctpV","Pseudonocardia dioxanivorans","Copper (Cu)"," copper-translocating P-type ATPase "
"101","GOKOFOOO_01156","gi|1222422936|ref|WP_090474657.1|","6final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_6.fa","MRG",1222422936,"WP_090474657.1","arsC","Nakamurella panacisegetis","Arsenic (As)"," arsenate reductase ArsC "
"102","GOKOFOOO_01157","gi|1125246833|gb|OLB93622.1|","6final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_6.fa","MRG",1125246833,"OLB93622.1","arsC","Actinobacteria bacterium 13_2_20CM_2_66_6","Arsenic (As)"," heat-shock protein HtpX "
"103","GOKOFOOO_01163","gi|517903663|ref|WP_019073871.1|","6final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_6.fa","MRG",517903663,"WP_019073871.1","arsM","Streptomyces hokutonensis","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
"104","GOKOFOOO_02129","gi|917227013|ref|WP_051833725.1|","6final_SemiBin_6.fa_PROKKA_07062024.faaBacMetPD.txt","6final_SemiBin_6.fa","MRG",917227013,"WP_051833725.1","arsM","Streptomyces sp. NRRL S-646","Arsenic (As)"," arsenite S-adenosylmethyltransferase "
