"","V1","V2","Bin","bin","Database","ARO.Accession","CVTERM.ID","Model.Sequence.ID","Model.ID","Model.Name","ARO.Name","Protein.Accession","DNA.Accession","AMR.Gene.Family","Drug.Class","Resistance.Mechanism","CARD.Short.Name"
"57","PDCKCNLI_04016","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_12.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_12.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"58","BPHEMJLL_03438","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","3final_SemiBin_16.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_16.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"59","BPHEMJLL_04116","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_16.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_16.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"60","HHOINFGF_01138","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_2.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_2.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"61","HHOINFGF_01141","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_2.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_2.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"62","HHOINFGF_01356","gb|NP_215821.1|ARO:3007854|Mtub_atpE_BDQ","3final_SemiBin_2.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_2.fa","CARD-ARGs","ARO:3007854",46644,8894,6071,"Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","NP_215821.1","NC_000962.3","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mtub_atpE_BDQ"
"63","HHOINFGF_01465","gb|CAG39033.1|ARO:3003301|Saur_gyrB_AMU","3final_SemiBin_2.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_2.fa","CARD-ARGs","ARO:3003301",39885,5405,1822,"Staphylococcus aureus gyrB conferring resistance to aminocoumarin","Staphylococcus aureus gyrB conferring resistance to aminocoumarin","CAG39033.1","BX571856.1","aminocoumarin resistant gyrB","aminocoumarin antibiotic","antibiotic target alteration","Saur_gyrB_AMU"
"64","HEHNKIII_01503","gb|ADK17136.1|ARO:3004563|Cdif_rpoB_RIF","3final_SemiBin_22.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_22.fa","CARD-ARGs","ARO:3004563",42470,5315,3269,"Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","Clostridioides difficile rpoB with mutation conferring resistance to rifampicin","ADK17136.1","CP001666.1","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Cdif_rpoB_RIF"
"65","HEHNKIII_01633","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_22.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_22.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"66","DMLPBLIN_02077","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_24.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_24.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"68","DMLPBLIN_03358","gb|AHA41505.1|ARO:3002930|vanR_in_vanO_cl","3final_SemiBin_24.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_24.fa","CARD-ARGs","ARO:3002930",39364,4685,1689,"vanR gene in vanO cluster","vanR gene in vanO cluster","AHA41505.1","KF478993.1","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic","antibiotic target alteration","vanR_in_vanO_cl"
"69","OGMKCNIB_00464","gb|AAC75137.1|ARO:3000794|mdtC","3final_SemiBin_26.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_26.fa","CARD-ARGs","ARO:3000794",37174,257,1315,"mdtC","mdtC","AAC75137.1","U00096.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic","antibiotic efflux","mdtC"
"70","FLNGDGCL_00095","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_28.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"71","FLNGDGCL_00111","gb|AHA41501.1|ARO:3002954|vanX_in_vanO_cl","3final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_28.fa","CARD-ARGs","ARO:3002954",39388,23,1699,"vanX gene in vanO cluster","vanX gene in vanO cluster","AHA41501.1","KF478993.1","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic","antibiotic target alteration","vanX_in_vanO_cl"
"72","FLNGDGCL_00661","gb|AHA41504.1|ARO:3002941|vanS_in_vanO_cl","3final_SemiBin_28.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_28.fa","CARD-ARGs","ARO:3002941",39375,4550,465,"vanS gene in vanO cluster","vanS gene in vanO cluster","AHA41504.1","KF478993.1","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic","antibiotic target alteration","vanS_in_vanO_cl"
"73","IHCCBFCG_01701","gb|AFJ38137.1|ARO:3007370|FosI","3final_SemiBin_3.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_3.fa","CARD-ARGs","ARO:3007370",46117,8592,5898,"FosI","FosI","AFJ38137.1","CP003505.2","fosfomycin thiol transferase","phosphonic acid antibiotic","antibiotic inactivation","FosI"
"74","IHCCBFCG_02092","gb|AHA41504.1|ARO:3002941|vanS_in_vanO_cl","3final_SemiBin_3.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_3.fa","CARD-ARGs","ARO:3002941",39375,4550,465,"vanS gene in vanO cluster","vanS gene in vanO cluster","AHA41504.1","KF478993.1","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic","antibiotic target alteration","vanS_in_vanO_cl"
"75","IHCCBFCG_02559","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_3.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_3.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"76","OPAIGMEK_01047","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_32.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"77","OPAIGMEK_01050","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_32.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"78","OPAIGMEK_01244","gb|NP_215821.1|ARO:3007854|Mtub_atpE_BDQ","3final_SemiBin_32.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_32.fa","CARD-ARGs","ARO:3007854",46644,8894,6071,"Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","Mycobacterium tuberculosis atpE with mutation conferring resistance to bedaquiline","NP_215821.1","NC_000962.3","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mtub_atpE_BDQ"
"79","PBICJEAM_01772","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_34.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"80","PBICJEAM_02678","gb|APB03222.1|ARO:3003992|rphB","3final_SemiBin_34.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_34.fa","CARD-ARGs","ARO:3003992",40874,3864,2528,"rphB","rphB","APB03222.1","KX531052.1","rifampin phosphotransferase","rifamycin antibiotic","antibiotic inactivation","rphB"
"81","KLCFCCKH_00494","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_35.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_35.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"82","JDAIELGM_00982","gb|ABC24999.1|ARO:3007476|Mabs_atpE_BDQ","3final_SemiBin_36.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_36.fa","CARD-ARGs","ARO:3007476",46243,8682,5960,"Mycobacterium abscessus atpE with mutation conferring resistance to bedaquiline","Mycobacterium abscessus atpE with mutation conferring resistance to bedaquiline","ABC24999.1","DQ306899.1","antibiotic resistant ATP synthase","diarylquinoline antibiotic","antibiotic target alteration","Mabs_atpE_BDQ"
"83","BPJCJHFO_00299","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_37.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_37.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"84","BPJCJHFO_01224","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","3final_SemiBin_37.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_37.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"85","AFNIILIM_02296","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","3final_SemiBin_38.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_38.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"86","AFNIILIM_03737","gb|AHA41505.1|ARO:3002930|vanR_in_vanO_cl","3final_SemiBin_38.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_38.fa","CARD-ARGs","ARO:3002930",39364,4685,1689,"vanR gene in vanO cluster","vanR gene in vanO cluster","AHA41505.1","KF478993.1","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic","antibiotic target alteration","vanR_in_vanO_cl"
"87","AFNIILIM_03751","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","3final_SemiBin_38.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_38.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"88","CKKAFDOM_00609","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","3final_SemiBin_39.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_39.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"89","CKKAFDOM_00765","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","3final_SemiBin_39.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_39.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"90","LIAMHLOE_03777","gb|AHA41505.1|ARO:3002930|vanR_in_vanO_cl","3final_SemiBin_41.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_41.fa","CARD-ARGs","ARO:3002930",39364,4685,1689,"vanR gene in vanO cluster","vanR gene in vanO cluster","AHA41505.1","KF478993.1","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic","antibiotic target alteration","vanR_in_vanO_cl"
"91","LIAMHLOE_04557","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","3final_SemiBin_41.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_41.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"92","LIAMHLOE_04881","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","3final_SemiBin_41.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_41.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"93","IMDPJANJ_02118","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","3final_SemiBin_52.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_52.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"94","HGHKOPJM_00751","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","3final_SemiBin_6.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_6.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"95","GDFOEMGC_03229","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_61.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_61.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"96","GDFOEMGC_04977","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_61.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_61.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"97","MFKNKFNJ_01177","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_65.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_65.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"98","MFKNKFNJ_01783","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_65.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_65.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"99","MFKNKFNJ_02100","gb|AHA41505.1|ARO:3002930|vanR_in_vanO_cl","3final_SemiBin_65.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_65.fa","CARD-ARGs","ARO:3002930",39364,4685,1689,"vanR gene in vanO cluster","vanR gene in vanO cluster","AHA41505.1","KF478993.1","glycopeptide resistance gene cluster;vanR","glycopeptide antibiotic","antibiotic target alteration","vanR_in_vanO_cl"
"100","DEAGPMAB_00133","gb|AFK57679.1|ARO:3003438|Efac_EFTu_GE2A","3final_SemiBin_67.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_67.fa","CARD-ARGs","ARO:3003438",40022,5307,2108,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A","AFK57679.1","CP003583.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Efac_EFTu_GE2A"
"101","PJEEEHGM_00445","gb|KTE89608.1|ARO:3003723|vanI","3final_SemiBin_74.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_74.fa","CARD-ARGs","ARO:3003723",40377,4649,2241,"vanI","vanI","KTE89608.1","LOCK01000072.1","Van ligase;glycopeptide resistance gene cluster","glycopeptide antibiotic","antibiotic target alteration","vanI"
"102","PJEEEHGM_00446","gb|ACL19707.1|ARO:3003725|vanX_in_vanI_cl","3final_SemiBin_74.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_74.fa","CARD-ARGs","ARO:3003725",40381,5507,2243,"vanX gene in vanI cluster","vanX gene in vanI cluster","ACL19707.1","CP001336.1","glycopeptide resistance gene cluster;vanX","glycopeptide antibiotic","antibiotic target alteration","vanX_in_vanI_cl"
"103","PJEEEHGM_01782","gb|AIA08936.1|ARO:3000444|rphA","3final_SemiBin_74.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_74.fa","CARD-ARGs","ARO:3000444",36583,7,910,"rphA","rphA","AIA08936.1","KJ151292.1","rifampin phosphotransferase","rifamycin antibiotic","antibiotic inactivation","rphA"
"104","GKGDMPNC_00096","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_78.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_78.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"105","GKGDMPNC_00442","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_78.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_78.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"106","GKGDMPNC_00580","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","3final_SemiBin_78.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_78.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"107","CGKKJGDN_00100","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_81.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_81.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"108","OJKPGKLG_01874","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","3final_SemiBin_9.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_9.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"109","OJKPGKLG_01877","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","3final_SemiBin_9.fa_PROKKA_07062024.faa.CARDbins.txt","3final_SemiBin_9.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"110","IPIHHDOK_01152","gb|NP_217974.1|ARO:3004999|Mtub_rpoA_RIF","4final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_13.fa","CARD-ARGs","ARO:3004999",43186,8797,3747,"Mycobacterium tuberculosis rpoA mutations confer resistance to rifampicin","Mycobacterium tuberculosis rpoA mutations confer resistance to rifampicin","NP_217974.1","NC_000962.3","rifampicin resistant rpoA","rifamycin antibiotic","antibiotic target alteration","Mtub_rpoA_RIF"
"111","IPIHHDOK_01218","gb|AAB39605.1|ARO:3003361|Pros_EFTu_GE2A","4final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_13.fa","CARD-ARGs","ARO:3003361",39945,3512,2257,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A","AAB39605.1","U67308.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Pros_EFTu_GE2A"
"112","IPIHHDOK_01221","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","4final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_13.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"113","IPIHHDOK_01456","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","4final_SemiBin_13.fa_PROKKA_07062024.faa.CARDbins.txt","4final_SemiBin_13.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
